GEO_ID,NAME,Ratio_women_to_men,Percent_hispanic_or_latino,Percent_white,Percent_black,Percent_asian,median_household_income,Ratio_female_labor_16_yrs_and_older,Bachelor_degree_or_higher,Average_household_size
8600000US10075,ZCTA5 10075,1.1351030110935023,0.1424197439228057,0.8671831508628688,0.034468361477082946,0.05729263314158471,137146,0.4951448583253741,13047,1.90
8600000US10110,ZCTA5 10110,None,None,None,None,None,None,None,0,None
8600000US10168,ZCTA5 10168,None,None,None,None,None,None,None,0,None
8600000US10174,ZCTA5 10174,None,None,None,None,None,None,None,0,None
8600000US10199,ZCTA5 10199,2.148936170212766,0.0,0.47297297297297297,0.0,0.527027027027027,None,0.0,46,2.69
8600000US10311,ZCTA5 10311,None,None,None,None,None,None,None,0,None
8600000US10468,ZCTA5 10468,1.1249628488827645,0.7576639922692537,0.14573982478670516,0.2299769857718667,0.03529695983317863,36046,0.4807231983702572,7458,2.93
8600000US10001,ZCTA5 10001,0.9641847313854854,0.14159832489966848,0.6524603036119351,0.07359099633571803,0.26382830221601816,88526,0.4246211114065408,12233,1.76
8600000US10035,ZCTA5 10035,1.0197208566423688,0.4458215594661892,0.23316453571328652,0.4369526900372101,0.06381669138013038,30081,0.47970773829292596,7199,2.27
8600000US10003,ZCTA5 10003,0.98821946696724,0.08240371603086939,0.7787754654182364,0.06384184923740902,0.14891554807797813,112131,0.486621830145282,30659,1.70
8600000US10009,ZCTA5 10009,1.1842829669293713,0.24768234786361676,0.6506517047906776,0.1128873543375054,0.1446353042727665,61548,0.5331278429494852,26908,1.93
8600000US10011,ZCTA5 10011,0.9369099700667741,0.11301315580916152,0.830460453320653,0.0709700427960057,0.11014027579648122,128613,0.46080902996619494,33429,1.68
8600000US10022,ZCTA5 10022,1.2054134485934953,0.05416867469879518,0.8506345381526105,0.023518072289156627,0.13937349397590362,135363,0.5050932532847793,22418,1.69
8600000US10028,ZCTA5 10028,1.3295476701111328,0.07392295942920511,0.8795430293139163,0.018433661833322873,0.10807021948820957,125140,0.5515191754402605,32866,1.88
8600000US10119,ZCTA5 10119,None,None,None,None,None,None,None,0,None
8600000US10044,ZCTA5 10044,1.1247726445980357,0.13293956514295496,0.49169662728984764,0.13191234377675057,0.3610683102208526,100441,0.5483927630423326,5963,2.13
8600000US10162,ZCTA5 10162,1.332842415316642,0.0,0.9545454545454546,0.0,0.08017676767676768,188880,0.5754060324825986,960,2.14
8600000US10279,ZCTA5 10279,1.3888888888888888,0.0,1.0,0.0,0.0,None,0.5813953488372093,18,2.39
8600000US10460,ZCTA5 10460,1.152313090027851,0.6950508360641963,0.1698176623813125,0.3208301823376187,0.019158053945046636,26866,0.5170900777994911,4469,2.85
8600000US10282,ZCTA5 10282,1.0661248614702623,0.07580904702306454,0.7788306812086536,0.010906490255676738,0.24423386375826928,"250,000+",0.4335898293743727,3194,2.51
8600000US10301,ZCTA5 10301,1.0994633855493523,0.24761830996824413,0.6282756305992306,0.3005189373402525,0.06738440089845868,55802,0.4936160510715914,9650,2.52
8600000US10307,ZCTA5 10307,1.0451127819548873,0.09184611344537816,0.9436055672268907,0.003676470588235294,0.030987394957983194,80893,0.4591910177054844,3808,2.86
8600000US10465,ZCTA5 10465,1.0653646685044154,0.44266485691663837,0.6232552878633639,0.14027824906684763,0.035357991177468615,74796,0.4884909308535126,8159,2.65
8600000US10470,ZCTA5 10470,1.1830527655962655,0.2109253499222395,0.45152928978745466,0.4035121824779679,0.0475635044064282,57160,0.5180331960564083,3557,2.52
8600000US10471,ZCTA5 10471,1.1098477548660628,0.2284892217756668,0.7115911582024114,0.13331202046035806,0.07211362805991962,85707,0.49453501296776586,8715,2.18
8600000US10006,ZCTA5 10006,1.1151255358236374,0.11986103068905617,0.7515923566878981,0.020555877243775333,0.2319050376375217,176250,0.4919263987983477,2510,1.93
8600000US10012,ZCTA5 10012,1.0218499006822697,0.0638161547990261,0.7852291657767716,0.04173251890137115,0.2029387894579471,109037,0.4823005954328339,14830,1.83
8600000US10013,ZCTA5 10013,1.0464038776819446,0.06019018426277474,0.5904768539482392,0.05385070883695008,0.3649726566581908,105442,0.49335875046119787,13227,2.23
8600000US10014,ZCTA5 10014,0.981434925546316,0.06659509402043073,0.9162274708829462,0.017209968117639404,0.07612726917821588,126601,0.4650604633988738,22493,1.66
8600000US10023,ZCTA5 10023,1.2995469780118596,0.10510130535757188,0.8154881076319372,0.04945943781532794,0.12078161287739249,130452,0.5320576474061351,41145,1.80
8600000US10024,ZCTA5 10024,1.2174991543578757,0.10881171505567702,0.8519686107015135,0.046507686310401516,0.08533753665192115,131668,0.5260320134793597,38054,2.02
8600000US10032,ZCTA5 10032,0.9980723191244598,0.662797211502552,0.35061620814141664,0.2245891945723889,0.056376820614963276,50391,0.4572689332518142,15008,2.98
8600000US10112,ZCTA5 10112,None,None,None,None,None,None,None,0,None
8600000US10152,ZCTA5 10152,None,None,None,None,None,None,None,0,None
8600000US10177,ZCTA5 10177,None,None,None,None,None,None,None,0,None
8600000US10306,ZCTA5 10306,1.133702722235606,0.14705882352941177,0.8793233224191788,0.04886906778066313,0.0671785028790787,79569,0.48167197635588993,11457,2.63
8600000US10461,ZCTA5 10461,1.0552720741315262,0.4660761102725034,0.5096130928735998,0.11734329069675062,0.12224914594422817,56612,0.45892087169327583,10168,2.60
8600000US10018,ZCTA5 10018,0.8831648522550545,0.15185299886445752,0.622070816558274,0.0579126664602044,0.32744915866625374,108914,0.41318490675148184,5622,1.88
8600000US10027,ZCTA5 10027,1.1657495638169373,0.2544927805664002,0.3340459812852451,0.41781310032843777,0.10988721571543657,46113,0.5048694571073352,19850,2.40
8600000US10036,ZCTA5 10036,0.8380914086583567,0.2154003208400175,0.6540761265859706,0.08480385008021,0.2005979291235234,91936,0.4288835915772745,16444,1.66
8600000US10170,ZCTA5 10170,None,None,None,None,None,None,None,0,None
8600000US10171,ZCTA5 10171,None,None,None,None,None,None,None,0,None
8600000US10304,ZCTA5 10304,1.0295556763702862,0.2523621663744399,0.5379407753750244,0.2906682252094292,0.10520163646990065,52199,0.4616855006465396,8708,2.82
8600000US10308,ZCTA5 10308,1.07193355755371,0.09567349102232824,0.9270854038295899,0.014543165705956403,0.05128205128205128,93963,0.46463554684861175,7804,2.83
8600000US10459,ZCTA5 10459,1.1018518518518519,0.6789931955905772,0.1311451676283841,0.3679344791214246,0.009637856507621351,27687,0.5142231947483589,4158,2.90
8600000US10466,ZCTA5 10466,1.276207524652974,0.22035348169814706,0.12396694214876033,0.7501207246236841,0.037817850687785426,51477,0.5447047179148796,11203,3.03
8600000US10474,ZCTA5 10474,0.8860031104199066,0.6339572853962233,0.11173414694483384,0.4247546796404717,0.0024738187515461365,25493,0.49310872894333846,847,3.18
8600000US10004,ZCTA5 10004,1.3898973954222573,0.036988110964332896,0.6595112285336856,0.02212681638044914,0.3289299867899604,157645,0.5490105844454671,2303,1.82
8600000US10025,ZCTA5 10025,1.2154452136548102,0.23421151877592802,0.6835299822207855,0.15129572760088358,0.1017294326814288,85930,0.5143991282689913,47067,2.09
8600000US10030,ZCTA5 10030,1.2581425224816747,0.2561742855230574,0.20845324944782812,0.6742855230573589,0.025199116524998327,37232,0.5419032761310453,6610,2.30
8600000US10037,ZCTA5 10037,1.2490690498989254,0.21368087421353896,0.13907942665215953,0.75642177964899,0.037702824163867735,45041,0.5790800887633649,5577,2.14
8600000US10172,ZCTA5 10172,None,None,None,None,None,None,None,0,None
8600000US10305,ZCTA5 10305,1.0996773392901464,0.16360111589200435,0.7553785048938484,0.07657572462054943,0.14097593266821126,76489,0.48107864267455264,10104,2.82
8600000US10314,ZCTA5 10314,1.0739682829852384,0.1512323575103844,0.748713654543251,0.048776456848205724,0.1816198587499036,86742,0.46477762834485,21620,2.85
8600000US10451,ZCTA5 10451,1.140145070296409,0.5907360140591656,0.14939955646679778,0.43656638353069166,0.016360517176450897,28921,0.502395122659312,5956,2.49
8600000US10463,ZCTA5 10463,1.121221128979519,0.5110986547085202,0.49722533632286997,0.18221692825112107,0.046889013452914796,58551,0.49963964962856194,20680,2.40
8600000US10475,ZCTA5 10475,1.3536332933870792,0.2902703203110535,0.20024069616737641,0.6482595815589706,0.029184410294389927,50832,0.5960789831621406,9111,2.22
8600000US10002,ZCTA5 10002,1.0699144355506487,0.2718920432573707,0.3564999399943995,0.10194284799914659,0.42936007360686995,35859,0.4686763360048809,20090,2.18
8600000US10029,ZCTA5 10029,1.1893772692265376,0.4789376484038343,0.3557671771549179,0.32305237634584216,0.102780255537269,34016,0.5161281406340695,17193,2.40
8600000US10031,ZCTA5 10031,0.9712107828704158,0.5137418262687954,0.44929797191887677,0.43957247651608194,0.05519965479470243,49891,0.464068952138126,15613,2.72
8600000US10034,ZCTA5 10034,1.107460340847699,0.697389885807504,0.42053134467490094,0.13957119552551853,0.04106268934980191,54716,0.4894486331662525,10429,2.66
8600000US10040,ZCTA5 10040,1.14500216564801,0.6948015525790312,0.41868030782347265,0.14258149918108187,0.03677278948195015,47137,0.4945184685444426,11295,2.66
8600000US10103,ZCTA5 10103,None,None,None,None,None,None,None,0,None
8600000US10154,ZCTA5 10154,None,None,None,None,None,None,None,0,None
8600000US10173,ZCTA5 10173,None,None,None,None,None,None,None,0,None
8600000US10271,ZCTA5 10271,None,None,None,None,None,None,None,0,None
8600000US10312,ZCTA5 10312,1.06616023023894,0.1009701818888583,0.921122106865778,0.016941740496590595,0.06272979057676423,95064,0.4839193467755374,14941,2.88
8600000US10452,ZCTA5 10452,1.1861494252873563,0.6811824706222561,0.15929703725124214,0.3629958726570099,0.02001892794237493,28277,0.5004550124761485,6520,2.88
8600000US10462,ZCTA5 10462,1.1267351971405613,0.4753113763093439,0.2615039866590234,0.31167596018552296,0.14557819584136744,52409,0.4967445702346825,13560,2.59
8600000US10473,ZCTA5 10473,1.2146307029276266,0.6083812847053297,0.39398412991326814,0.4351020819003842,0.02253015484238957,41638,0.5213183675088248,7042,2.83
8600000US10005,ZCTA5 10005,1.2060954284286785,0.06884837504246405,0.7683161589853924,0.03702864907711471,0.20643188766844073,173333,0.5217017619252257,5825,2.02
8600000US10010,ZCTA5 10010,0.9418537708693149,0.10978357545211978,0.7502223539875482,0.06249629410020753,0.18615475837533352,117923,0.4594381970475265,19854,1.85
8600000US10016,ZCTA5 10016,1.1128491620111731,0.06939303131793878,0.7382533247155141,0.05374385490726051,0.21487748986426936,117004,0.4843136709072182,33165,1.71
8600000US10017,ZCTA5 10017,1.2148864592094197,0.05898360863236504,0.7593190304411114,0.030251249920891083,0.22802354281374596,127506,0.5005757817344317,11219,1.57
8600000US10026,ZCTA5 10026,1.1718715515338778,0.21311891878159694,0.28747808856032314,0.5654294642176664,0.07024362980463887,58884,0.5282795240127056,12700,2.48
